	random_trimmed_F1_S1_R1_001.fastq	random_trimmed_F2_S2_R1_001.fastq	random_trimmed_F3_S3_R1_001.fastq	random_trimmed_F4_S4_R1_001.fastq	random_trimmed_M1_S5_R1_001.fastq	random_trimmed_M2_S6_R1_001.fastq	random_trimmed_M4_S7_R1_001.fastq
hsa-miR-1260b	436	41	169	264	468	107	384
hsa-miR-493-3p	423	529	2233	3635	1280	1601	5353
hsa-miR-24-2-5p	422	148	657	854	1124	413	774
hsa-miR-214-5p	414	32	128	225	170	42	110
hsa-miR-323a-3p	406.5	579	1961	5528.5	2402	3206	6492
hsa-miR-203a-3p	400	66	171	634	458	121	341
hsa-miR-708-5p	396	129	918	1041	534	341	1029
hsa-miR-223-5p	388	52	319	329	204	160	263
hsa-miR-337-3p	382	123	301	466	479	373	607
hsa-miR-26a-2-3p	374	61	244	175	307	127	92
hsa-miR-450b-5p	364	162	363	573	564	638	1369
hsa-miR-362-5p	360	189	656	1032	669	450	750
hsa-miR-4286	346	28	137	371	380	112	387
hsa-miR-486-3p	346	2	22	62	190	32	120
hsa-miR-330-3p	339	151	568	1727	875	644	2121
hsa-miR-15b-3p	337	6	73	106	132	60	116
hsa-miR-424-3p	331	225	532	1155	700	783	1978
hsa-miR-3622a-5p	329	21	75	220	102	62	166
hsa-miR-181c-5p	329	103	475	440	687	348	493
hsa-miR-941	313	17	292	263	200	82	216
hsa-miR-769-5p	311	67	568	601	641	204	455
hsa-miR-671-3p	297	40	139	386	208	125	273
hsa-miR-760	297	29	113	375	299	131	447
hsa-miR-370-3p	297	386	620	1580	812	547	1514
hsa-miR-148a-5p	294	10	117	117	90	22	64
hsa-miR-874-3p	276	60	329	378	424	153	658
hsa-miR-708-3p	275	82	380	504	428	86	282
hsa-miR-181a-3p	273	31	177	209	259	129.5	195.5
hsa-miR-483-3p	270	48	65	223	157	61	93
hsa-miR-210-3p	267	4	72	70	139	26	63
hsa-miR-576-3p	266	26	125	105	204	44	91
hsa-miR-130b-3p	261	41	92	249	186	133	231
hsa-miR-590-3p	261	42	287	268	311	124	69
hsa-miR-628-5p	251	205	717	1367	970	768	1302
hsa-let-7c-3p	249	51	165	327	259	168	400
hsa-miR-331-5p	248	37	160	264	250	141	260
hsa-miR-425-3p	246	46	277	402	243	126	266
hsa-miR-29b-1-5p	246	97	404.5	482	421	206	638
hsa-miR-342-5p	244	64	292	665	484	346	666
hsa-miR-532-3p	244	40	240	585	367	262	715
hsa-miR-655-3p	234	93	305	318	389	226	449
hsa-miR-504-5p	229	108	905	2009	1099	858	2378
hsa-miR-376c-3p	229	48	531	323	564	219	415
hsa-miR-374b-3p	228	100	258	341	521.5	206	297.5
hsa-miR-485-5p	222	437	1629	5015	1764	2228	6951
hsa-miR-589-5p	222	22	132	121	204	78	160
hsa-miR-132-5p	220	83	253	475	327	237	392
hsa-let-7e-3p	218	35	135	238	251	111	195
hsa-miR-221-5p	209	52	277	505	380	187	331
hsa-miR-598-3p	204	52	281	255	231	173	307
hsa-miR-576-5p	199	17	77	101	162	75	54
hsa-miR-671-5p	198	32	53	109	40	35	135
hsa-miR-3615	193	17	151	380	418	176	453
hsa-miR-628-3p	192	55	215	478	401	284	489
hsa-miR-455-5p	188	110	536	322	525	214	455
hsa-miR-136-3p	188	111	419	509	570	341	546
hsa-miR-369-5p	186	133	368	1006	755	565	1067
hsa-let-7f-1-3p	180	8	65	86	129	77	72
hsa-miR-4662a-5p	180	35	165	613	196	64	196
hsa-miR-26b-3p	177	36	118	156	178	127	150
hsa-miR-181d-5p	173	138.5	479.5	636	591	437	706.5
hsa-miR-549a	169	2	0	2	0	0	7
hsa-miR-21-3p	165	12	106	146	36	17	20
hsa-miR-485-3p	164	93	322	1316	372	477	1097
hsa-miR-32-5p	161	49	209	132	378	140	113
hsa-miR-92a-1-5p	160	22	144	142	111	67	140
hsa-miR-212-5p	157	39	93	133	244	117	203
hsa-miR-323b-3p	156.5	119	438	1602.5	703	790	1577
hsa-miR-19a-3p	154	28	174	99	132	47.5	102
hsa-miR-32-3p	154	69	208	338	247	272	388
hsa-miR-381-3p	151	53	342	208	324	118	263
hsa-miR-98-3p	149	26	117	234	192	82	148
hsa-miR-625-3p	147	19	184	238	525	126	105
hsa-miR-3605-3p	146	40	76	296	134	127	236
hsa-miR-424-5p	144	76	341	441	332	156	467
hsa-miR-7-1-3p	143	16	127	105	154	65	110
hsa-miR-889-3p	142	260	1057	1598	995	1023	1165
hsa-miR-499a-5p	133	34	244	294	391	128	158
hsa-miR-1299	133	54	155	151	143	263	352
hsa-miR-877-5p	132	58	88	378	278	178	569
hsa-miR-29c-5p	131	24	144	156	125	77	168
hsa-miR-326	127	19	103	80	37	27	179
hsa-miR-324-5p	125	13	121	169	165	89	169
hsa-miR-503-5p	125	69	174	315	226	123	566
hsa-miR-25-5p	121	16	61	172	113	51	110
hsa-miR-1468-5p	121	60	172	267	382	135	263
hsa-miR-501-5p	120	33	147	313	183	115	250
hsa-let-7i-3p	120	56	155	139	219	55	121
hsa-miR-18a-3p	118	3	28	74	54	48	52
hsa-miR-139-3p	115	25	83	320	219	91	377
hsa-miR-1303	115	11	60	101	60	29	104
hsa-miR-1270	114	3	27	52	99	26	132
hsa-miR-766-3p	114	2	23	29	13	6	32
hsa-miR-1296-5p	114	4	99	115	125	20	66
hsa-miR-411-3p	113.5	95.5	356.5	649	430	363	763.5
hsa-miR-450a-5p	113	38	119	223	161	219	503
hsa-miR-656-3p	111	56	166	207	211	179	376
hsa-miR-379-3p	109.5	49.5	227.5	377	350	230	404.5
hsa-miR-676-3p	109	13	79	109	179	53	127
hsa-miR-505-5p	109	30	121	259	206	140	292
hsa-miR-944	107	9	31	59	51	25	11
hsa-miR-96-5p	106	230	690	1213	804	577	1287
hsa-miR-3158-3p	106	4	21	27	87	20	10
hsa-miR-27a-5p	103	29	180	217	203	61	185
hsa-miR-148b-5p	92	23	63	62	102	34	38
hsa-miR-942-5p	92	12	48	70	133	33	65
hsa-miR-193b-5p	91	18	12	97	95	25	109
hsa-miR-93-3p	91	14	38	99	77	48	95
hsa-miR-1307-3p	91	4	64	142	88	30	121
hsa-let-7c	91	26.5	74.1666666666667	121.666666666667	141.333333333333	62.6666666666667	72.5
hsa-miR-135b-5p	90	4	21	27	9	11	3
hsa-miR-4454	88	23	28	826	115	75	58
hsa-miR-200c-3p	88	16	60	87	83	61	85
hsa-miR-362-3p	88	21	171	100	126	71	59
hsa-miR-378a-5p	88	5	27	54	121	10	27
hsa-miR-409-5p	87	178	704	1350	676	707	1655
hsa-miR-1247-3p	85	4	37	26	39	8	14
hsa-miR-212-3p	84	14	50	80	50	22	43
hsa-miR-433-3p	84	135	571	1851	670	655	2120
hsa-miR-6842-3p	84	5	11	20	38	16	31
hsa-miR-224-3p	84	14	30	48	67	17	29
hsa-miR-500a-5p	81	17	65	89	132.5	73	102
hsa-miR-542-3p	81	206	397	510	400	441	923
hsa-miR-191-3p	81	16	29	118	42	32	83
hsa-miR-204-3p	80	71	192	400	497	439	820
hsa-miR-1291	78	2	44	18	28	3	20
hsa-miR-18a-5p	76.5	4.5	73.5	38.5	96.5	22	45
hsa-miR-1255a	75	2	24	9	9	13	7
hsa-miR-23c	74.5	22.5	89	124.5	140.5	99	189.5
hsa-miR-190a-5p	74	14	104	89	108	58	129
hsa-miR-1294	74	5	13	9	42	19	26
hsa-miR-548e-3p	74	13	69	62	76	16	76
hsa-miR-3177-3p	74	10	22	63	30	31	84
hsa-miR-616-3p	72	10	14	29	36	17	32
hsa-miR-376a-3p	71	18	87	125	134	78	99
hsa-miR-106a-5p	67.5	17	120.833333333333	78.5	183	51	47
hsa-miR-4510	67	18	34	79	83.5	49	89
hsa-miR-92b-5p	67	21	52	158	110	53	206
hsa-miR-431-5p	67	29	56	111	37	90	139
hsa-miR-124-3p	66	355	1353	3265	1631	1141	2720
hsa-miR-1307-5p	64	4	19	34	38	7	7
hsa-miR-1226-3p	64	5	26	77	45	42	82
hsa-miR-4326	64	5	6	21	30	6	13
hsa-miR-320e	64	1	16	3	15	12.25	7.25
hsa-miR-296-3p	62	8	38	38	60	29	77
hsa-miR-651-5p	61	14	70	64	91	44	44
hsa-miR-550a-3-5p|hsa-miR-550a-5p	60	16.5	31.5	51	93	29.5	52
hsa-miR-185-3p	59	8	46	47	24	9	45
hsa-miR-6511a-3p	59	3	18	54	7	18	57
hsa-miR-127-5p	58	34	231	226	165	103	283
hsa-miR-365b-5p	58	8	11	159	94	33	97
hsa-miR-548av-5p|hsa-miR-548k	57	7	23	25	41	8	45
hsa-miR-3909	57	9	50	40	58	22	51
hsa-miR-664b-3p	56	4	21	44	32	32	39
hsa-miR-7977	56	4	17	36	72	37	78
hsa-miR-1908-5p	54	9	24	68	43	20	197
hsa-miR-1287-5p	54	11	52	63	93	28	61
hsa-miR-4636	54	8	29	20	107	26	42
hsa-miR-873-5p	54	11	52	84	47	43	96
hsa-miR-29b-2-5p	53	35	172.5	280	188	103	369
hsa-miR-3613-3p	52	3	23	24	64	23	10
hsa-miR-625-5p	52	17	148	129	315	105	116
hsa-miR-1292-5p	51	1	13	49	52	14	55
hsa-miR-33b-3p	51	2	12	20	9	12	28
hsa-miR-487a-5p	51	73	204	635	201	382	747
hsa-miR-202-5p	50	2	2	31	136	17	14
hsa-miR-624-5p	49	2	15	0	15	4	4
hsa-miR-1827	48	26	86	119	133	63	92
hsa-miR-3934-5p	48	0	32	35	47	18	34
hsa-miR-511-3p	47	1	4	7	11	3	0
hsa-miR-200b-3p	47	81	324	324	568	297	666
hsa-miR-30b-3p	46	35	150	204	279	176	251
hsa-miR-539-3p	46	43	100	141	152	129	116
hsa-miR-6503-3p	45	4	43	43	28	6	15
hsa-miR-548av-3p|hsa-miR-548o-3p	43	2	64	22	49	18	5
hsa-miR-489-3p	43	6	15	51	48	31	56
hsa-miR-34c-5p	43	10	89	140	125	61	85
hsa-miR-1976	41	1	4	17	23	4	9
hsa-miR-627-3p	41	3	10	15	4	22	10
hsa-miR-1284	41	2	5	8	11	5	6
hsa-miR-4732-5p	41	0	1	0	5	3	0
hsa-miR-142-3p	41	16	119	82	55	36	36
hsa-miR-99a-3p	41	5	15	21	60	31	49
hsa-miR-181b-3p	40	3	20	22	38	9	20
hsa-miR-5695	40	1	8	3	10	8	7
hsa-miR-887-5p	39	7	25	30	51	14	37
hsa-miR-5010-3p	39	7	18	67	25	23	47
hsa-let-7a-2-3p	38	2	27	11	23	14	13
hsa-miR-885-5p	38	28	104	324	213	94	210
hsa-miR-410-3p	38	37	184	399	213	174	413
hsa-miR-34a-3p	38	1	12	14	0	5	4
hsa-miR-17-3p	38	3	31	25	71	13	11
hsa-miR-585-3p	37	14	5	12	47	0	19
hsa-miR-6716-3p	37	5	7	38	18	11	10
hsa-miR-618	37	13	75	100	126	53	124
hsa-miR-3617-5p	36	3	0	0	5	0	3
hsa-miR-654-5p	35	79	187	503	218	210	634
hsa-miR-34b-3p	35	11	81	108	76	97	143
hsa-miR-887-3p	35	3	12	27	20	2	30
hsa-miR-487a-3p	35	79	214	349	424	210	355
hsa-miR-1262	34	13	37	83	77	19	83
hsa-miR-154-5p	34	2	22	15	5	8	25
hsa-miR-3616-5p	33	0	6	11	6	7	6
hsa-miR-3928-3p	33	7	19	27	4	9	21
hsa-miR-3143	33	0	4	0	8	0	2
hsa-miR-128-1-5p	32	4	5	23	6	3	37
hsa-miR-299-5p	32	11	74	73	87	54	121
hsa-miR-3912-3p	32	4	19	38	40	13	18
hsa-miR-3605-5p	31	13	64	164	161	83	182
hsa-miR-138-5p	31	300	1058	2084	744	865	2155
hsa-miR-539-5p	31	30	88	285	180	189	223
hsa-miR-377-3p	31	10	35	33	78	15	47
hsa-miR-215-5p	30.5	5.5	45.5	160	177.5	39	49.5
hsa-miR-129-5p	30	89	135	476	541	454	960
hsa-miR-891a-5p	30	26	58	171	123	59	102
hsa-miR-1254	30	0	5	8	11	4	14
hsa-miR-3074-5p	30	3	23	12	21	18	1
hsa-miR-6866-3p	30	0	3	4	10	1	9
hsa-miR-6843-3p	29	9	21	22	17	18	40
hsa-miR-1246	29	2	3	18	21	9	10
hsa-miR-4787-3p	29	1	1	7	0	1	0
hsa-miR-577	29	28	25	171	80	40	26
hsa-miR-103a-2-5p	29	2.5	10.5	7	14	4	7
hsa-miR-1306-3p	28	2	19	51	40	28	54
hsa-miR-4742-3p	28	2	12	15	15	13	4
hsa-miR-296-5p	28	0	15	12	22	18	4
hsa-miR-508-3p	28	3	23	14	12	7	21
hsa-miR-20b-5p	28	20	84	26	93	43	67.5
hsa-miR-873-3p	28	2	8	35	0	11	60
hsa-miR-6868-3p	27	5	10	5	16	0	0
hsa-miR-346	27	4	17	92	14	31	82
